f_id,id,name,cal,fcal,fat,sfat,tfat,chol,sod,carbs,fbr,sgr,protein,vegan,veg,dairy,gluten,cat,
1,1,Chow Mein 9.4 oz,510,200,22,4,0,0,980,65,4,9,13,,,,,,
2,1,Chow Fun 8.5 oz,410,80,9,1,0,0,1110,73,1,6,9,,,,,,
3,1,Fried Rice 9.3 oz,520,140,16,3,0,150,790,82,1,3,12,,,,,,
4,1,Brown Steamed Rice 10.4 oz,420,35,4,1,0,0,15,86,4,1,9,,,,,,
5,1,White Steamed Rice 8.1 oz,380,0,0,0,0,0,0,87,0,0,7,,,,,,
6,1,Mixed Vegetables (Side) 8.6 oz,80,5,0.5,0,0,0,540,16,5,5,4,,,,,,
7,1,Country Style Bean Curd 5.7 oz,191,113,12,1.5,0,0,945,14,2,8,7,,,,,,
8,1,Eggplant Tofu 6.1 oz,340,210,24,3.5,0,0,520,23,3,17,7,,,,,,
9,1,Hot Szechuan Tofu 5.5 oz,140,70,8,1,0,0,580,10,2,5,6,,,,,,
10,1,Mixed Veggies (Entree) 4.3 oz,35,0,0,0,0,0,280,8,3,2,2,,,,,,
11,1,Black Pepper Chicken 6.3 oz,280,165,19,3,0,52,1140,14,1,7,13,,,,,,
12,1,Kung Pao Chicken 6.2 oz,290,170,19,3,0,53,970,14,2,6,16,,,,,,
13,2,Bacon Clubhouse Burger 9.7 oz (274 g),740,369,41,16,1.5,125,1480,51,4,14,40,,,,,,
14,2,Premium Grilled Chicken Bacon Clubhouse Sandwich 10 oz (285 g),610,234,26,8,0,125,1750,50,3,14,45,,,,,,
15,2,Premium Buttermilk Crispy Chicken Bacon Clubhouse Sandwich 10.1 oz (287 g),790,360,40,11,0.5,110,1620,67,5,15,40,,,,,,
16,2,McChicken ® 5.1 oz (144 g),370,153,17,3.5,0,40,650,40,2,5,14,,,,,,
17,2,Buffalo Ranch McChicken 5.2 oz (148 g),370,153,17,3.5,0,40,850,41,2,5,14,,,,,,
18,2,Bacon Buffalo Ranch McChicken 5.7 oz (162 g),440,189,21,5,0,55,1120,41,2,6,20,,,,,,
19,2,Bacon Cheddar McChicken 6.1 oz (172 g),490,225,25,7,0,70,1120,43,2,6,22,,,,,,
20,2,Southern Style Buttermilk Crispy Chicken Sandwich 5.7 oz (162 g),470,189,21,4.5,0,65,800,46,2,5,25,,,,,,
21,2,Filet-O-Fish 5 oz (142 g),390,171,19,4,0,40,590,39,2,5,15,,,,,,
22,2,McRib ® 7.3 oz (208 g),500,234,26,10,0,70,980,44,3,11,22,,,,,,
23,2,Premium McWrap Chicken & Bacon (Buttermilk Crispy) 11.1 oz (314 g),690,306,34,10,0.5,100,1450,58,4,6,36,,,,,,
